positive_terms,negative_terms
direct express,cash app
bluebird,cashapp
bank america,zelle
penfe,nelnet
rush,vanilla
midland,cooper
credit management,netspend
spring,robinhood
comenity,loancare
bpo,ocwen
information service,inc
consultant,fcra experian
mrs,transworld
mcm,hsbc
elan,nationstar
portfolio recovery,westlake
resource management,edfinancial
transunion,freedom mortgage
credence resource,aidvantage
credence,avant
